forecast_id,target_month,as_of,as_of_precision,vintage,model_key,model_label,model_version,model_provenance,estimate_mom_pct,data_cutoff,feature_hash,code_commit,status,created_at,notes,actual_mom_pct,error_pp,absolute_error_pp,squared_error,direction_correct
frozen-202608-early-cfr,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,category_factor_regression,Category-factor regression,lost-v0.4,historical_import,0.187,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value; intraday cutoff unavailable.,0.4,-0.21300000000000002,0.21300000000000002,0.04536900000000001,True
frozen-202608-early-gb,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,gradient_boosting,Gradient boosting,lost-v0.4,historical_import,0.397,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value; exact estimator unavailable.,0.4,-0.0030000000000000027,0.0030000000000000027,9.000000000000015e-06,True
frozen-202608-early-hybrid,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,economic_ml_hybrid,Economic + ML hybrid,lost-v0.4,historical_import,0.311,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,-0.08900000000000002,0.08900000000000002,0.007921000000000004,True
frozen-202608-early-ridge,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,product_level_ridge,Product-level ridge,lost-v0.4,historical_import,0.412,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,0.011999999999999955,0.011999999999999955,0.00014399999999999892,True
frozen-202608-early-sector,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,sector_first_aggregation,Sector-first aggregation,lost-v0.4,historical_import,0.188,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,-0.21200000000000002,0.21200000000000002,0.04494400000000001,True
frozen-202608-early-rf,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,random_forest,Random forest,lost-v0.4,historical_import,0.438,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,0.03799999999999998,0.03799999999999998,0.0014439999999999985,True
frozen-202608-final-cfr,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,category_factor_regression,Category-factor regression,lost-v0.4,historical_import,0.279,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value; final cutoff approximate.,0.4,-0.121,0.121,0.014641,True
frozen-202608-final-gb,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,gradient_boosting,Gradient boosting,lost-v0.4,historical_import,0.453,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value; exact estimator unavailable.,0.4,0.05299999999999999,0.05299999999999999,0.002808999999999999,True
frozen-202608-final-hybrid,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,economic_ml_hybrid,Economic + ML hybrid,lost-v0.4,historical_import,0.37,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,-0.030000000000000027,0.030000000000000027,0.0009000000000000016,True
frozen-202608-final-ridge,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,product_level_ridge,Product-level ridge,lost-v0.4,historical_import,0.41,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,0.009999999999999953,0.009999999999999953,9.999999999999907e-05,True
frozen-202608-final-sector,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,sector_first_aggregation,Sector-first aggregation,lost-v0.4,historical_import,0.227,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,-0.17300000000000001,0.17300000000000001,0.029929000000000004,True
frozen-202608-final-rf,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,random_forest,Random forest,lost-v0.4,historical_import,0.509,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,Frozen handoff value.,0.4,0.10899999999999999,0.10899999999999999,0.011880999999999997,True
