model_key,vintage,n,mae,rmse,bias,directional_accuracy
category_factor_regression,early,1,0.21300000000000002,0.21300000000000002,-0.21300000000000002,1.0
category_factor_regression,final,1,0.121,0.121,-0.121,1.0
economic_ml_hybrid,early,1,0.08900000000000002,0.08900000000000002,-0.08900000000000002,1.0
economic_ml_hybrid,final,1,0.030000000000000027,0.030000000000000027,-0.030000000000000027,1.0
gradient_boosting,early,1,0.0030000000000000027,0.0030000000000000027,-0.0030000000000000027,1.0
gradient_boosting,final,1,0.05299999999999999,0.05299999999999999,0.05299999999999999,1.0
product_level_ridge,early,1,0.011999999999999955,0.011999999999999955,0.011999999999999955,1.0
product_level_ridge,final,1,0.009999999999999953,0.009999999999999953,0.009999999999999953,1.0
random_forest,early,1,0.03799999999999998,0.03799999999999998,0.03799999999999998,1.0
random_forest,final,1,0.10899999999999999,0.10899999999999999,0.10899999999999999,1.0
sector_first_aggregation,early,1,0.21200000000000002,0.21200000000000002,-0.21200000000000002,1.0
sector_first_aggregation,final,1,0.17300000000000001,0.17300000000000001,-0.17300000000000001,1.0
